t(),X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56
2005-03-01,-4.152986,4.019336,-0.326129,,2.805363,0.092405,-0.11142,-1.194917,-1.108088,,,-3.488007,1.170421,,,1.166026,-0.207697,,2.649833,,-1.094233,,,,-1.288862,,,,2.167642,,,,,-1.989049,,,1.012237,0.825791,2.072152,-2.911848,,,,-0.346588,,2.130332,1.43094,-6.638737,-3.770463,-2.009978,,-0.187079,2.236909,1.531173,,-0.786605
2005-03-02,-2.389497,3.542455,-0.099342,,4.248178,0.458829,1.048623,0.962432,0.893717,,,-2.237932,-0.491813,,,0.226833,0.764633,,1.547935,,-1.998178,,,,-2.459075,,,,-0.653431,,,,,-1.243907,,,0.301073,-1.632139,3.939213,-2.923675,,,,0.166792,,-0.881239,2.84317,-5.569231,-0.942179,0.525973,,-0.518582,3.334371,0.899417,,2.236348
2005-03-03,-2.990221,4.831521,1.583757,,5.951937,0.192134,1.504329,1.348109,3.318242,,,-1.247387,-0.570635,,,-0.835665,1.138792,,2.883011,,-1.201745,,,,-1.394041,,,,0.943378,,,,,-2.513154,,,-0.792183,0.270055,2.592081,-2.25562,,,,2.091209,,-1.461477,4.61483,-4.903132,0.18632,2.286165,,1.846306,-0.157254,1.249723,,3.372012
2005-03-04,-1.743956,5.498451,6.677133,,7.026032,1.696158,0.535181,-0.339881,0.232007,,,1.840124,-2.742609,,,-1.42071,-0.31118,,1.749135,,-2.860169,,,,-0.084593,,,,0.768277,,,,,-1.947013,,,-4.186882,-1.199844,1.805289,-3.925732,,,,2.835177,,-2.625907,5.43907,-6.250958,-0.731686,1.77172,,-0.552327,-1.336299,1.550597,,0.969601
2005-03-07,-1.415183,1.182479,1.413672,,6.313897,-0.062985,-1.884957,-1.777394,-0.220384,,,-0.010698,-4.749593,,,-3.625804,-2.320103,,-0.534448,,-4.086013,,,,-0.967666,,,,-1.889704,,,,,-3.688564,,,-5.977307,-1.535536,-0.871305,-3.18697,,,,1.444071,,-5.90859,3.117812,-7.771656,-0.664632,1.436137,,-0.448686,-2.365441,-0.395327,,-1.348819
2005-03-08,0.284748,1.462712,0.833547,,2.041544,0.050132,-4.32745,-2.108444,-0.909609,,,-1.589746,-3.046317,,,-4.521611,-4.030018,,-1.102276,,-3.233103,,,,-0.644723,,,,-1.451081,,,,,0.0046,,,-1.490243,-3.687739,-1.10972,-2.579666,,,,2.280503,,-7.234109,2.600244,-7.912072,-3.070858,3.709455,,-1.989172,-2.456173,-1.326298,,-2.216824
2005-03-09,2.522298,1.479591,-0.29142,,2.08515,0.808766,-1.80594,-1.002112,-2.743898,,,-3.081563,-3.355808,,,-2.832634,-3.028941,,0.513281,,-1.142919,,,,1.814998,,,,0.117912,,,,,0.882553,,,-1.604826,-0.762669,-0.925621,-3.218197,,,,2.472828,,-9.467941,1.624297,-8.810478,-1.056095,3.634052,,0.872353,-2.334546,-0.631037,,-1.726551
2005-03-10,5.400231,1.315015,1.030385,,1.334462,2.990546,-2.463701,-0.205895,0.118788,,,-4.669783,0.121773,,,-1.76067,-3.040435,,0.479745,,-0.783745,,,,0.009821,,,,1.699066,,,,,0.928699,,,0.64027,-1.275061,0.068838,-1.058422,,,,-0.613944,,-11.517394,2.966964,-1.796243,-1.061911,5.207569,,1.44809,-0.019007,-2.169473,,-2.613005
2005-03-11,1.077835,-1.976512,0.25033,,-1.61507,-0.081925,-3.562126,-0.545394,-0.395466,,,-6.116511,-0.338051,,,-2.299352,-3.162688,,-2.205356,,-1.630644,,,,-1.465347,,,,2.279104,,,,,-0.138785,,,2.731636,-0.266075,0.110904,-2.323511,,,,-0.668421,,-2.460392,3.195324,-1.442066,-2.609922,3.867191,,0.544703,2.471116,-2.385856,,-0.790397
2005-03-14,1.098526,-3.914599,-1.013212,,-3.516974,0.101398,-2.342479,0.659812,1.390509,,,-0.835486,0.608556,,,-2.240913,-0.125336,,-3.852722,,-2.416807,,,,-3.810706,,,,2.995452,,,,,-0.782228,,,0.955657,0.157344,3.162906,-3.946133,,,,-3.406188,,-3.762997,4.192049,-3.276175,-1.979874,1.890154,,0.979755,2.42279,-3.763596,,-1.998241
2005-03-15,-0.20087,-1.378937,-0.296012,,-5.868663,-0.455545,-1.634122,1.775131,-0.737116,,,1.24451,3.384963,,,0.922858,-1.267035,,-2.236912,,-1.014235,,,,-1.813845,,,,2.674324,,,,,-0.453109,,,2.557833,-1.068646,1.377335,-1.98269,,,,-3.810959,,-1.070725,2.228101,-4.602867,-1.988953,2.564553,,-0.562132,2.689492,-4.127398,,-2.081931
2005-03-16,1.54082,-1.120712,-2.165963,,-0.763713,0.601404,-1.582407,3.894642,-0.875141,,,3.888923,3.552903,,,-0.188992,2.076569,,-0.876001,,0.622971,,,,-0.953716,,,,4.927884,,,,,-0.609347,,,2.006549,0.522334,2.572332,-0.783142,,,,-3.140128,,-0.763652,-0.674712,-5.415186,0.162955,3.496198,,-0.293601,2.764767,-0.483321,,0.208337
